"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"unkn. Prevotellaceae(f)","644","273","444","412","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;unkn. Prevotellaceae(f);unkn. Prevotellaceae(f)"
"Pseudobutyrivibrio sp. INlla6","642","67","529","71","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio sp. INlla6"
"Lactobacillus crispatus","626","0","494","605","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus"
"[Eubacterium] hallii","547","74","394","62","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;[Eubacterium] hallii"
"Bacteroides acidifaciens","525","323","213","617","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens"
"Clostridium sp. Marseille-P3122","524","719","503","69","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Marseille-P3122"
"unkn. Parabacteroides(g)","521","590","1180","295","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;unkn. Parabacteroides(g)"
"Dorea longicatena","477","444","310","39","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea longicatena"
"Mucispirillum sp. 69","448","2050","371","104","Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;Mucispirillum sp. 69"
"unkn. Ruminococcus(g)","434","192","470","85","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;unkn. Ruminococcus(g)"
"Roseburia sp. DJF_VR77","398","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. DJF_VR77"
"Clostridium sp. ASF502","381","155","785","53","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. ASF502"
"unkn. Flavonifractor(g)","381","261","260","85","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Flavonifractor;unkn. Flavonifractor(g)"
"Clostridium sp. Culture-27","376","138","197","20","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture-27"
"Intestinibacter bartlettii","336","3","22","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii"
"Lactobacillus reuteri","327","44","76","124","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus reuteri"
"unkn. Helicobacter(g)","320","964","663","267","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;unkn. Helicobacter(g)"
"unkn. Anaerostipes(g)","317","270","500","55","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;unkn. Anaerostipes(g)"
"Helicobacter sp. MIT 01-6451","313","1050","478","45","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter sp. MIT 01-6451"
"unkn. Lactobacillaceae(f)","307","75","102","215","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;unkn. Lactobacillaceae(f);unkn. Lactobacillaceae(f)"
"Oscillibacter sp. G2","298","137","114","36","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter sp. G2"
"Clostridium sp. Clone-40","292","1907","1213","238","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-40"
"Clostridium sp. AT4","286","287","405","98","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. AT4"
