"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"Eubacterium sp. oral clone JI012","13","19","4","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium sp. oral clone JI012"
"Roseburia sp. 499","13","46","17","20","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. 499"
"Senegalimassilia anaerobia","13","11","18","11","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Senegalimassilia;Senegalimassilia anaerobia"
"unkn. Bacillaceae(f)","13","9","49","1","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;unkn. Bacillaceae(f);unkn. Bacillaceae(f)"
"unkn. Spirochaetia(c)","13","97","58","13","Bacteria;Spirochaetes;Spirochaetia;unkn. Spirochaetia(c);unkn. Spirochaetia(c);unkn. Spirochaetia(c);unkn. Spirochaetia(c)"
"unkn. Tenericutes(p)","13","19","24","3","Bacteria;Tenericutes;unkn. Tenericutes(p);unkn. Tenericutes(p);unkn. Tenericutes(p);unkn. Tenericutes(p);unkn. Tenericutes(p)"
"Atopobium sp. CCUG 46246","12","0","1","0","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium sp. CCUG 46246"
"Eubacterium plexicaudatum","12","12","52","28","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium plexicaudatum"
"Olsenella sp. Mou02","12","0","0","0","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella sp. Mou02"
"unkn. Porphyromonas(g)","12","23","12","45","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;unkn. Porphyromonas(g)"
"unkn. Selenomonadales(o)","12","10","22","2","Bacteria;Firmicutes;Negativicutes;Selenomonadales;unkn. Selenomonadales(o);unkn. Selenomonadales(o);unkn. Selenomonadales(o)"
"unkn. Streptococcus(g)","12","577","41","9","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unkn. Streptococcus(g)"
"Anaerocolumna aminovalerica","11","6","8","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;Anaerocolumna aminovalerica"
"Clostridium neonatale","11","7","16","30","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium neonatale"
"Clostridium sp. enrichment culture clone c-1","11","6","10","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. enrichment culture clone c-1"
"Clostridium sp. Marseille-P2776","11","17","8","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Marseille-P2776"
"Intestinibacillus massiliensis","11","9","3","12","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Intestinibacillus;Intestinibacillus massiliensis"
"Lachnoanaerobaculum umeaense","11","4","3","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum umeaense"
"Oscillibacter sp. Marseille-P3260","11","16","1","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter sp. Marseille-P3260"
"Stomatobaculum longum","11","9","5","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum"
"unkn. Acidaminobacter(g)","11","15","5","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XII. Incertae Sedis;Acidaminobacter;unkn. Acidaminobacter(g)"
"unkn. Agathobacter(g)","11","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;unkn. Agathobacter(g)"
"unkn. Candidatus Alysiosphaera(g)","11","2","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;unkn. Alphaproteobacteria(c);unkn. Alphaproteobacteria(c);Candidatus Alysiosphaera;unkn. Candidatus Alysiosphaera(g)"
"unkn. Catenibacterium(g)","11","3","12","8","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;unkn. Catenibacterium(g)"
"unkn. Flavobacteriia(c)","11","14","1","6","Bacteria;Bacteroidetes;Flavobacteriia;unkn. Flavobacteriia(c);unkn. Flavobacteriia(c);unkn. Flavobacteriia(c);unkn. Flavobacteriia(c)"
"unkn. Oribacterium(g)","11","36","8","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;unkn. Oribacterium(g)"
"[Clostridium] scindens","10","14","25","20","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] scindens"
"Bifidobacterium choerinum","10","13","14","17","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium choerinum"
"Clostridium sp. Clone-44","10","53","16","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-44"
"Clostridium sp. Marseille-P3244","10","3","2","58","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Marseille-P3244"
"Clostridium sp. PI-S10-A1B","10","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. PI-S10-A1B"
"Faecalicatena contorta","10","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta"
"Lactobacillus jensenii","10","1","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus jensenii"
"Ruminococcus lactaris","10","14","9","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus lactaris"
"Streptococcus danieliae","10","4","4","6","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus danieliae"
"unkn. Acholeplasmataceae(f)","10","14","13","1","Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;unkn. Acholeplasmataceae(f);unkn. Acholeplasmataceae(f)"
"unkn. Holdemanella(g)","10","25","22","22","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;unkn. Holdemanella(g)"
"unkn. Hungatella(g)","10","13","12","11","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;unkn. Hungatella(g)"
"unkn. Johnsonella(g)","10","24","11","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella;unkn. Johnsonella(g)"
"unkn. Massilioclostridium(g)","10","7","9","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Massilioclostridium;unkn. Massilioclostridium(g)"
"[Clostridium] indolis","9","5","6","49","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] indolis"
"Anaerobium acetethylicum","9","29","16","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerobium;Anaerobium acetethylicum"
"Clostridium sp. ID5","9","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. ID5"
"Robinsoniella sp. MCWD5","9","11","15","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;Robinsoniella sp. MCWD5"
"Ruminococcus flavefaciens","9","5","18","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus flavefaciens"
"Ruminococcus sp. 16442","9","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. 16442"
"unkn. Adlercreutzia(g)","9","12","16","9","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia;unkn. Adlercreutzia(g)"
"unkn. Anaerotaenia(g)","9","32","16","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotaenia;unkn. Anaerotaenia(g)"
"unkn. Colidextribacter(g)","9","15","9","1","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Colidextribacter;unkn. Colidextribacter(g)"
"unkn. Flavobacteriaceae(f)","9","2","2","8","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;unkn. Flavobacteriaceae(f);unkn. Flavobacteriaceae(f)"
"unkn. Peptostreptococcaceae(f)","9","9","14","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;unkn. Peptostreptococcaceae(f);unkn. Peptostreptococcaceae(f)"
"[Clostridium] leptum","8","1","25","17","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] leptum"
"[Eubacterium] siraeum","8","10","14","11","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Eubacterium] siraeum"
"Coprobacillus cateniformis","8","23","3","0","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;Coprobacillus cateniformis"
"Holdemanella biformis","8","6","15","15","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella biformis"
"Pseudobutyrivibrio sp. INlla2","8","6","22","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio sp. INlla2"
"Pseudoflavonifractor capillosus","8","5","3","0","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Pseudoflavonifractor;Pseudoflavonifractor capillosus"
"unkn. Coprobacter(g)","8","6","5","9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Coprobacter;unkn. Coprobacter(g)"
"unkn. Intestinibacillus(g)","8","11","5","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Intestinibacillus;unkn. Intestinibacillus(g)"
"unkn. Massilimaliae(g)","8","6","18","11","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Massilimaliae;unkn. Massilimaliae(g)"
"unkn. Peptococcus(g)","8","1","8","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;unkn. Peptococcus(g)"
"unkn. Rhodospirillales(o)","8","26","12","7","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unkn. Rhodospirillales(o);unkn. Rhodospirillales(o);unkn. Rhodospirillales(o)"
"unkn. Selenomonadaceae(f)","8","6","8","2","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;unkn. Selenomonadaceae(f);unkn. Selenomonadaceae(f)"
"unkn. Sutterellaceae(f)","8","91","22","123","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;unkn. Sutterellaceae(f);unkn. Sutterellaceae(f)"
"Butyricimonas faecihominis","7","0","1","2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas faecihominis"
"Butyrivibrio fibrisolvens","7","18","14","18","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens"
"Clostridium sp. 619","7","4","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. 619"
"Clostridium sp. BAB-4185","7","22","11","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. BAB-4185"
"Clostridium sp. TM-40","7","0","0","9","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. TM-40"
"Fournierella massiliensis","7","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fournierella;Fournierella massiliensis"
"Syntrophococcus sp. BS-2","7","4","1","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sp. BS-2"
"unkn. Falcatimonas(g)","7","3","5","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Falcatimonas;unkn. Falcatimonas(g)"
"unkn. Fusicatenibacter(g)","7","3","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;unkn. Fusicatenibacter(g)"
"unkn. Gordonibacter(g)","7","0","4","2","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Gordonibacter;unkn. Gordonibacter(g)"
"unkn. Marinilabiliales(o)","7","3","1","0","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;unkn. Marinilabiliales(o);unkn. Marinilabiliales(o);unkn. Marinilabiliales(o)"
"unkn. Megamonas(g)","7","1","3","2","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;unkn. Megamonas(g)"
"unkn. Veillonellaceae(f)","7","2","14","18","Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;unkn. Veillonellaceae(f);unkn. Veillonellaceae(f)"
"[Clostridium] symbiosum","6","0","3","78","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] symbiosum"
"Blautia hydrogenotrophica","6","27","7","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica"
"Clostridium phoceensis","6","78","6","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium phoceensis"
"Clostridium sp. BPY5","6","16","12","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. BPY5"
"Clostridium sp. MLG392","6","5","5","7","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. MLG392"
"Desulfotomaculum sp. SN1_H","6","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;Desulfotomaculum sp. SN1_H"
"Helicobacter hepaticus","6","3","4","0","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter hepaticus"
"Lactobacillus amylolyticus","6","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus amylolyticus"
"Parabacteroides sp. SN4","6","1","3","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides sp. SN4"
"Phocea massiliensis","6","4","7","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea;Phocea massiliensis"
"Rikenella microfusus","6","6","4","4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;Rikenella microfusus"
"Roseburia hominis","6","12","21","78","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia hominis"
"Ruthenibacterium lactatiformans","6","16","12","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans"
"unkn. Anaerovorax(g)","6","4","2","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Anaerovorax;unkn. Anaerovorax(g)"
"unkn. Bittarella(g)","6","3","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Bittarella;unkn. Bittarella(g)"
"unkn. Candidatus Soleaferrea(g)","6","2","4","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus Soleaferrea;unkn. Candidatus Soleaferrea(g)"
"unkn. Epsilonproteobacteria(c)","6","22","17","8","Bacteria;Proteobacteria;Epsilonproteobacteria;unkn. Epsilonproteobacteria(c);unkn. Epsilonproteobacteria(c);unkn. Epsilonproteobacteria(c);unkn. Epsilonproteobacteria(c)"
"unkn. Planococcaceae(f)","6","0","0","0","Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;unkn. Planococcaceae(f);unkn. Planococcaceae(f)"
"unkn. Sphingobacteriaceae(f)","6","15","16","8","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;unkn. Sphingobacteriaceae(f);unkn. Sphingobacteriaceae(f)"
"unkn. Veillonella(g)","6","13","15","85","Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;unkn. Veillonella(g)"
"Agathobacter ruminis","5","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;Agathobacter ruminis"
"Clostridium sp. BTY5","5","10","3","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. BTY5"
"Clostridium sp. Clone-24","5","2","5","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-24"
"Clostridium sp. enrichment culture clone d-1","5","2","3","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. enrichment culture clone d-1"
"Clostridium sp. JC3","5","0","5","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. JC3"
"Dialister succinatiphilus","5","3","2","2","Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister succinatiphilus"
"Dielma fastidiosa","5","0","0","0","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dielma;Dielma fastidiosa"
"Fusicatenibacter saccharivorans","5","1","7","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans"
"Holdemania massiliensis","5","0","0","0","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania massiliensis"
"Howardella ureilytica","5","2","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Howardella;Howardella ureilytica"
"Mitsuokella multacida","5","13","6","6","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;Mitsuokella multacida"
"Olsenella sp. 1832","5","2","34","3","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella sp. 1832"
"unkn. Acetivibrio(g)","5","20","20","11","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;unkn. Acetivibrio(g)"
"unkn. Anaerofilum(g)","5","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;unkn. Anaerofilum(g)"
"unkn. Comamonadaceae(f)","5","12","5","10","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unkn. Comamonadaceae(f);unkn. Comamonadaceae(f)"
"unkn. Cytophagia(c)","5","10","12","8","Bacteria;Bacteroidetes;Cytophagia;unkn. Cytophagia(c);unkn. Cytophagia(c);unkn. Cytophagia(c);unkn. Cytophagia(c)"
"unkn. Deferribacteres(c)","5","25","4","2","Bacteria;Deferribacteres;Deferribacteres;unkn. Deferribacteres(c);unkn. Deferribacteres(c);unkn. Deferribacteres(c);unkn. Deferribacteres(c)"
"unkn. Desulfotomaculum(g)","5","2","11","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;unkn. Desulfotomaculum(g)"
"unkn. Parapedobacter(g)","5","0","1","1","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter;unkn. Parapedobacter(g)"
"unkn. Raoultibacter(g)","5","6","5","0","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Raoultibacter;unkn. Raoultibacter(g)"
"unkn. Sporanaerobacter(g)","5","4","7","2","Bacteria;Firmicutes;Tissierellia;Tissierellales;unkn. Tissierellales(o);Sporanaerobacter;unkn. Sporanaerobacter(g)"
"[Clostridium] celerecrescens","4","6","6","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] celerecrescens"
"[Eubacterium] cellulosolvens","4","4","4","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens"
"Anaerosporobacter mobilis","4","16","5","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter;Anaerosporobacter mobilis"
"Bacteroides nordii","4","1","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii"
"Bacteroides stercorirosoris","4","3","2","5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercorirosoris"
"Clostridium sp. Clone-30","4","3","0","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-30"
"Clostridium sp. K13-19","4","5","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. K13-19"
"Clostridium sp. SY8519","4","3","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. SY8519"
"Clostridium sp. XB90","4","1","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. XB90"
"Coprobacter fastidiosus","4","0","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Coprobacter;Coprobacter fastidiosus"
"Dorea sp. MC_33","4","1","25","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea sp. MC_33"
"Eubacterium uniforme","4","0","4","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium uniforme"
"Falcatimonas natans","4","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Falcatimonas;Falcatimonas natans"
"Helicobacter himalayensis","4","5","5","0","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter himalayensis"
"Lactobacillus helveticus","4","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helveticus"
"Murimonas intestini","4","0","2","7","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;Murimonas intestini"
"Parabacteroides sp. J1502","4","2","4","3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides sp. J1502"
"Parvibacter caecicola","4","4","1","3","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Parvibacter;Parvibacter caecicola"
"Ruminococcus sp. 653","4","1","4","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. 653"
"unkn. Bariatricus(g)","4","2","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Bariatricus;unkn. Bariatricus(g)"
"unkn. Candidatus Saccharimonas(g)","4","8","2","3","Bacteria;Candidatus Saccharibacteria;unkn. Candidatus Saccharibacteria(p);unkn. Candidatus Saccharibacteria(p);unkn. Candidatus Saccharibacteria(p);Candidatus Saccharimonas;unkn. Candidatus Saccharimonas(g)"
"unkn. Clostridiales Family XII. Incertae Sedis(f)","4","6","5","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XII. Incertae Sedis;unkn. Clostridiales Family XII. Incertae Sedis(f);unkn. Clostridiales Family XII. Incertae Sedis(f)"
"unkn. Escherichia(g)","4","0","4","18","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;unkn. Escherichia(g)"
"unkn. Gammaproteobacteria(c)","4","17","11","25","Bacteria;Proteobacteria;Gammaproteobacteria;unkn. Gammaproteobacteria(c);unkn. Gammaproteobacteria(c);unkn. Gammaproteobacteria(c);unkn. Gammaproteobacteria(c)"
"unkn. Lactococcus(g)","4","0","0","3","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;unkn. Lactococcus(g)"
"unkn. Moryella(g)","4","3","1","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella;unkn. Moryella(g)"
"unkn. Opitutae(c)","4","43","7","7","Bacteria;Verrucomicrobia;Opitutae;unkn. Opitutae(c);unkn. Opitutae(c);unkn. Opitutae(c);unkn. Opitutae(c)"
"unkn. Prevotellamassilia(g)","4","5","9","3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;unkn. Prevotellamassilia(g)"
"unkn. Ruthenibacterium(g)","4","1","2","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruthenibacterium;unkn. Ruthenibacterium(g)"
"unkn. Succinivibrionaceae(f)","4","3","10","5","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;unkn. Succinivibrionaceae(f);unkn. Succinivibrionaceae(f)"
"unkn. Sutterella(g)","4","6","9","7","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;unkn. Sutterella(g)"
"[Clostridium] methylpentosum","3","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] methylpentosum"
"[Clostridium] populeti","3","6","7","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] populeti"
"Allobaculum stercoricanis","3","20","68","357","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;Allobaculum stercoricanis"
"Anaerostipes rhamnosivorans","3","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes rhamnosivorans"
"Anaerotaenia torta","3","2","3","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotaenia;Anaerotaenia torta"
"Bacteroides caccae","3","4","115","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae"
"Bacteroides faecichinchillae","3","44","4","15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecichinchillae"
"Bariatricus massiliensis","3","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis"
"Barnesiella intestinihominis","3","0","1","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;Barnesiella intestinihominis"
"Blautia luti","3","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia luti"
"Brachyspira pulli","3","1","26","2","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira pulli"
"Colidextribacter massiliensis","3","1","4","2","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Colidextribacter;Colidextribacter massiliensis"
